"Observed_Rain"   "Forecast_Rain_Shifted"
43.9710006713867   18.0714626312256
41.693000793457   16.5841827392578
45.1790008544922   16.7306613922119
48.9370002746582   17.9353065490723
46.8230018615723   17.5341415405273
43.5089988708496   19.0469207763672
46.4580001831055   18.8203773498535
48.4420013427734   19.3448925018311
58.5309982299805   18.7309131622314
59.4230003356934   20.5644607543945
42.1559982299805   20.4093952178955
46.826000213623   21.8528213500977
47.7910003662109   22.2026863098145
42.507999420166   23.5754070281982
50.3919982910156   26.1916007995605
64.4940032958984   25.7440071105957
49.5369987487793   24.7393379211426
51.3969993591309   22.8620147705078
52.0989990234375   19.4615669250488
75.322998046875   19.4098701477051
39.6699981689453   19.2366466522217
39.3030014038086   26.6425704956055
43.8549995422363   24.2068881988525
41.4169998168945   24.2533016204834
46.7200012207031   25.8990116119385
54.3969993591309   28.2990837097168
58.3170013427734   29.9687366485596
52.0009994506836   28.329797744751
46.2439994812012   27.1446514129639
45.3400001525879   27.0233917236328
58.3680000305176   26.8192176818848
51.3250007629395   26.6020545959473
95.6169967651367   23.8578567504883
79.8889999389648   25.5628700256348
41.1080017089844   24.9446792602539
42.9049987792969   23.768087387085
77.693000793457   26.4939823150635
53.5110015869141   30.1943550109863
53.5660018920898   0
42.1349983215332   0
40.890998840332   0
43.9329986572266   0
46.5229988098145   32.1377639770508
48.1609992980957   32.9186782836914
58.8730010986328   36.634449005127
63.951000213623   34.0249252319336
63.2319984436035   32.2556686401367
56.9440002441406   30.396577835083
55.0400009155273   31.9784469604492
66.3850021362305   30.7921485900879
72.2409973144531   26.9392795562744
94.0540008544922   26.4974632263184
123.142997741699   25.00852394104
104.680000305176   26.2840576171875
75.7470016479492   28.6194267272949
78.161003112793   28.8478984832764
59.3009986877441   29.5635681152344
46.2470016479492   25.4217147827148
44.1259994506836   0
49.6809997558594   0
70.5410003662109   0
64.6809997558594   0
54.4420013427734   0
52.5639991760254   30.904125213623
53.6730003356934   32.6572036743164
58.367000579834   30.3242149353027
59.7379989624023   33.587329864502
67.1999969482422   31.5205421447754
69.0719985961914   29.8403301239014
75.3150024414062   27.3564929962158
69.7129974365234   30.0919189453125
69.2720031738281   32.7748489379883
71.3339996337891   32.0341567993164
88.8639984130859   34.7908668518066
84.4169998168945   31.2126808166504
68.5989990234375   30.826057434082
48.4550018310547   32.0810203552246
70.7229995727539   29.9093189239502
58.117000579834   25.8155059814453
44.8800010681152   0
56.5390014648438   0
79.0839996337891   0
115.971000671387   30.986608505249
90.3290023803711   33.5662422180176
88.802001953125   34.3859176635742
76.2559967041016   0
81.0910034179688   0
115.216003417969   0
104.833999633789   0
84.7170028686523   34.7191200256348
75.8560028076172   31.0475292205811
70.6139984130859   31.6181449890137
65.0400009155273   32.9954147338867
62.5   0
68.1149978637695   0
76.5100021362305   0
73.4100036621094   32.1036720275879
86.625   30.1334686279297
46.923999786377   28.8153076171875
46.9679985046387   27.5571479797363
42.1049995422363   25.5370941162109
42.359001159668   0
51.4490013122559   0
56.851001739502   0
67.9649963378906   34.7215385437012
60.814998626709   0
69.9459991455078   0
79.7699966430664   0
90.3330001831055   0
120.597999572754   0
133.47900390625   0
95.1859970092773   0
79.9649963378906   0
74.2210006713867   0
74.2929992675781   0
78.2610015869141   0
